,model,month,member,ice-free year
0,CESM1,8.0,37,2042
1,CESM1,8.0,3,2045
2,CESM1,8.0,18,2046
3,CESM1,8.0,32,2046
4,CESM1,8.0,36,2046
5,CESM1,8.0,1,2047
6,CESM1,8.0,30,2047
7,CESM1,8.0,33,2047
8,CESM1,8.0,38,2047
9,CESM1,8.0,11,2048
10,CESM1,8.0,20,2048
11,CESM1,8.0,25,2048
12,CESM1,8.0,40,2048
13,CESM1,8.0,21,2049
14,CESM1,8.0,27,2049
15,CESM1,8.0,8,2050
16,CESM1,8.0,14,2050
17,CESM1,8.0,24,2050
18,CESM1,8.0,28,2050
19,CESM1,8.0,31,2050
20,CESM1,8.0,39,2050
21,CESM1,8.0,4,2051
22,CESM1,8.0,6,2051
23,CESM1,8.0,7,2051
24,CESM1,8.0,9,2051
25,CESM1,8.0,13,2052
26,CESM1,8.0,17,2052
27,CESM1,8.0,22,2052
28,CESM1,8.0,10,2053
29,CESM1,8.0,12,2053
30,CESM1,8.0,15,2053
31,CESM1,8.0,26,2053
32,CESM1,8.0,29,2053
33,CESM1,8.0,34,2053
34,CESM1,8.0,2,2054
35,CESM1,8.0,19,2054
36,CESM1,8.0,16,2056
37,CESM1,8.0,23,2056
38,CESM1,8.0,35,2056
39,CESM1,8.0,5,2057
0,CESM1,9.0,27,2036
1,CESM1,9.0,38,2038
2,CESM1,9.0,39,2038
3,CESM1,9.0,11,2039
4,CESM1,9.0,20,2039
5,CESM1,9.0,31,2039
6,CESM1,9.0,24,2040
7,CESM1,9.0,9,2041
8,CESM1,9.0,37,2041
9,CESM1,9.0,2,2042
10,CESM1,9.0,13,2042
11,CESM1,9.0,14,2042
12,CESM1,9.0,36,2042
13,CESM1,9.0,7,2043
14,CESM1,9.0,18,2043
15,CESM1,9.0,29,2043
16,CESM1,9.0,3,2044
17,CESM1,9.0,12,2044
18,CESM1,9.0,25,2044
19,CESM1,9.0,32,2044
20,CESM1,9.0,34,2044
21,CESM1,9.0,4,2045
22,CESM1,9.0,6,2045
23,CESM1,9.0,17,2045
24,CESM1,9.0,19,2045
25,CESM1,9.0,21,2045
26,CESM1,9.0,22,2045
27,CESM1,9.0,23,2045
28,CESM1,9.0,30,2045
29,CESM1,9.0,40,2045
30,CESM1,9.0,1,2046
31,CESM1,9.0,15,2046
32,CESM1,9.0,26,2046
33,CESM1,9.0,33,2046
34,CESM1,9.0,8,2047
35,CESM1,9.0,28,2047
36,CESM1,9.0,16,2048
37,CESM1,9.0,35,2048
38,CESM1,9.0,10,2049
39,CESM1,9.0,5,2050
0,CESM1,10.0,25,2050
1,CESM1,10.0,33,2050
2,CESM1,10.0,40,2051
3,CESM1,10.0,9,2052
4,CESM1,10.0,17,2053
5,CESM1,10.0,21,2053
6,CESM1,10.0,31,2053
7,CESM1,10.0,6,2054
8,CESM1,10.0,10,2054
9,CESM1,10.0,13,2054
10,CESM1,10.0,12,2055
11,CESM1,10.0,14,2055
12,CESM1,10.0,22,2055
13,CESM1,10.0,26,2055
14,CESM1,10.0,30,2055
15,CESM1,10.0,34,2055
16,CESM1,10.0,38,2055
17,CESM1,10.0,3,2056
18,CESM1,10.0,29,2056
19,CESM1,10.0,4,2057
20,CESM1,10.0,16,2057
21,CESM1,10.0,39,2057
